symbol,alert_type,direction,price,entry,stop,target_1,target_2,confidence,message,time
NVDA,auto_stop_out,SELL,181.96,182.69,181.96,,,high,"STOP OUT — ema_bounce_100 entry at $182.69 failed, stop $181.96 hit (-$0.73/share). Exit immediately.",19:44:07
NVDA,stop_loss_hit,SELL,181.96,,,,,,Stop loss hit at $181.96 (-$0.73/share from entry $182.69),19:42:07
SPY,ma_resistance,SELL,678.95,,,,,,"MA100 RESISTANCE — rejected at $680.93, closed below at $678.95 — recently broken, acting as resistance",19:38:09
NVDA,ema_bounce_100,BUY,182.73,182.69,181.96,183.64,184.55,medium,"EMA bounce 100 — price pulled back to $182.69 and closed above at $182.73 (counter-trend) (last_30) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence, session: last_30 | T1: hourly resistance $183.64, T2: hourly resistance $184.06 | normal volume | gap down (-0.6%) | Defending 100EMA | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | SPY at 100MA support | 15m trend aligned",19:38:07
LRCX,pdh_rejection,SELL,211,,,,,,"PRIOR DAY HIGH REJECTION — rejected at $211.24, closed $211.00 — approaching from below, acting as resistance",19:38:06
LRCX,resistance_prior_high,NOTICE,211,,,,,medium,"At prior day high $211.24 — resistance zone, watch for rejection",19:38:06
NVDA,ema_resistance,SELL,182.44,,,,,,"EMA100 RESISTANCE — rejected at $182.69, closed $182.22 — recently broken, acting as resistance",19:34:07
NVDA,pdh_rejection,SELL,182.44,,,,,,"PRIOR DAY HIGH REJECTION — rejected at $182.76, closed $182.22 — approaching from below, acting as resistance",19:34:07
NVDA,resistance_prior_high,NOTICE,182.44,,,,,medium,"At prior day high $182.76 — resistance zone, watch for rejection",19:34:07
META,hourly_resistance_approach,SELL,645.15,,,,,,APPROACHING HOURLY RESISTANCE at $646.90 — tighten stop or take profits,19:32:39
SPY,ema_bounce_100,BUY,677.08,676.62,675.27,680.93,684.31,medium,"EMA bounce 100 — price pulled back to $676.62 and closed above at $677.08 (counter-trend) (last_30) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence, session: last_30 | T1: MA100 $680.93, T2: hourly resistance $682.61 | normal volume | gap down (-0.9%) | Defending 100EMA | CAUTION: volume climax — potential reversal | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",19:32:08
BTC-USD,hourly_resistance_approach,SELL,69347.02,,,,,,APPROACHING HOURLY RESISTANCE at $69453.50 — tighten stop or take profits,19:30:07
SPY,prior_day_high_breakout,BUY,676.465,676.11,674.76,680.93,684.31,medium,"Prior day high breakout — closed above $676.11 (vol 1.8x avg) (power_hour) | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: MA100 $680.93, T2: hourly resistance $682.61 | high volume | gap down (-0.9%) | Overhead 100EMA | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",19:28:08
BTC-USD,intraday_support_bounce,BUY,68964.93,68746.42,68572.63,69453.5,70264.61,high,"Intraday support bounce at $68746.42 (tested 3x, strong) (us) | T1: hourly resistance $69453.50, T2: hourly resistance $70264.61 | normal volume | gap up (+1.9%) | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",19:26:07
SPY,ema_resistance,SELL,675.35,,,,,,"EMA100 RESISTANCE — rejected at $676.62, closed $674.89 — recently broken, acting as resistance",19:22:09
NVDA,target_1_hit,SELL,180.91,,,,,,"T1 hit at $180.91 (entry $179.64) — sell half, move stop to breakeven",19:22:07
SPY,hourly_resistance_approach,SELL,674.57,,,,,,APPROACHING HOURLY RESISTANCE at $676.11 — tighten stop or take profits,19:20:38
SPY,pdh_rejection,SELL,674.57,,,,,,"PRIOR DAY HIGH REJECTION — rejected at $676.11, closed $674.57 — approaching from below, acting as resistance",19:20:38
SPY,resistance_prior_high,NOTICE,674.57,,,,,,At prior day high $676.11 — consider taking profits,19:20:38
NVDA,hourly_resistance_approach,SELL,180.72,,,,,,APPROACHING HOURLY RESISTANCE at $180.91 — tighten stop or take profits,19:20:07
GOOGL,target_1_hit,SELL,303.65,,,,,,"T1 hit at $303.65 (entry $302.03) — sell half, move stop to breakeven",19:20:06
GOOGL,ma_resistance,SELL,304.06,,,,,,"MA100 RESISTANCE — rejected at $304.31, closed below at $304.06 — recently broken, acting as resistance",19:20:06
GOOGL,hourly_resistance_approach,SELL,303,,,,,,APPROACHING HOURLY RESISTANCE at $303.65 — tighten stop or take profits,19:18:06
LRCX,auto_stop_out,SELL,204.57,205.19,204.57,,,high,"STOP OUT — macd_histogram_flip entry at $205.19 failed, stop $204.57 hit (-$0.62/share). Exit immediately.",19:14:07
LRCX,stop_loss_hit,SELL,204.57,,,,,,Stop loss hit at $204.57 (-$0.62/share from entry $205.19),19:14:06
LRCX,hourly_resistance_approach,SELL,205.465,,,,,,APPROACHING HOURLY RESISTANCE at $205.88 — tighten stop or take profits,19:14:06
LRCX,macd_histogram_flip,BUY,205.19,205.19,204.57,206.22,211.24,medium,"MACD histogram flip — momentum turning bullish (hist -0.0014 → 0.0265) (power_hour) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $205.88, T2: prior high $211.24 | normal volume | gap down (-2.2%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",19:12:06
NVDA,fib_retracement_bounce,BUY,179.3879,179.09,178.56,180.91,182.49,medium,"Fibonacci 61.8% retracement bounce — low $179.39 touched fib $179.09, bounced to $179.39 (prime_time) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $180.91, T2: hourly resistance $182.49 | normal volume | gap down (-0.6%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",18:58:31
GOOGL,intraday_support_bounce,BUY,302.31,302.03,301.59,303.65,305.16,medium,"Intraday support bounce at $302.03 (tested 1x, weak) (prime_time) | SPY also bouncing from session low $662.39 | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $303.65, T2: MA100 $304.31 | low volume (caution) | gap down (-1.4%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",18:58:31
SPY,weekly_level_touch,BUY,670.12,669.66,668.58,673.01,676.36,medium,"Weekly level touch — price at prior week low $669.66, T1=$688.62 (prime_time) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $672.25, T2: prior close $672.38 | normal volume | gap down (-0.9%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",18:58:31
META,auto_stop_out,SELL,635.24,636.18,635.24,,,high,"STOP OUT — intraday_support_bounce entry at $636.18 failed, stop $635.24 hit (-$0.94/share). Exit immediately.",18:58:06
NVDA,intraday_support_bounce,BUY,179.883,179.64,179.12,180.91,182.49,medium,"Intraday support bounce at $179.64 (tested 1x, weak) (prime_time) | SPY also bouncing from session low $662.39 | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $180.91, T2: hourly resistance $182.49 | low volume (caution) | gap down (-0.6%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned [+1 confirming: Fib Retracement Bounce]",18:54:46
SPY,planned_level_touch,BUY,670.9401,669.76,668.67,673.11,676.46,medium,"Planned level touch (normal) — price at entry $669.76, entry=$669.76, T1=$676.11 (prime_time) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $672.25, T2: prior close $672.38 | normal volume | gap down (-0.9%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned [+1 confirming: Weekly Level Touch]",18:54:46
META,target_1_hit,SELL,636.25,,,,,,"T1 hit at $636.25 (entry $633.08) — sell half, move stop to breakeven",18:44:06
META,intraday_support_bounce,BUY,636.79,636.18,635.24,639.36,644.86,medium,"Intraday support bounce at $636.18 (tested 1x, weak) (prime_time) | SPY also bouncing from session low $662.39 | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $638.23, T2: prior close $644.86 | normal volume | gap down (-1.6%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",18:44:06
PLTR,target_1_hit,SELL,154.52,,,,,,"T1 hit at $154.52 (entry $153.14) — sell half, move stop to breakeven",18:22:07
SPY,intraday_support_bounce,BUY,669.645,667.84,666.8,671.18,674.52,medium,"Intraday support bounce at $667.84 (tested 4x, strong) (prime_time) | SPY also bouncing from session low $662.39 | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: prior low $669.76, T2: hourly resistance $672.25 | low volume (caution) | gap down (-0.9%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",18:14:09
SPY,vwap_bounce,BUY,669.08,667.4,666.35,670.74,674.08,medium,"VWAP bounce — retraced to VWAP $667.40 and held, close $669.08 (vol 0.4x) (prime_time) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: prior low $669.76, T2: hourly resistance $672.25 | low volume (caution) | gap down (-0.9%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",17:54:37
PLTR,ema_bounce_50,BUY,153.18,153.14,152.78,154.52,155.29,medium,"EMA bounce 50 — price pulled back to $153.14 and closed above at $153.18 (prime_time) — price below VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $154.52, T2: VWAP $155.11 | normal volume | gap down (-0.9%) | Defending 50EMA | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",17:24:57
META,vwap_bounce,BUY,633.98,633.08,631.25,636.25,639.42,medium,"VWAP bounce — retraced to VWAP $633.08 and held, close $633.98 (vol 0.5x) (prime_time) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: prior low $636.11, T2: hourly resistance $638.23 | low volume (caution) | gap down (-1.6%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",17:24:57
LRCX,fib_retracement_bounce,BUY,205.72,204.85,204.24,211.24,214.83,medium,"Fibonacci 50.0% retracement bounce — low $205.43 touched fib $204.85, bounced to $205.72 (prime_time) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: prior high $211.24, T2: hourly resistance $214.83 | low volume (caution) | gap down (-2.2%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",16:49:39
ETH-USD,intraday_support_bounce,BUY,2024.7732,2016.65,2010.56,2031.32,2056.57,high,"Intraday support bounce at $2016.65 (tested 2x, strong) (us) | T1: hourly resistance $2031.32, T2: hourly resistance $2056.57 | normal volume | gap up (+2.1%) | Defending 20EMA | SPY EMAs converging — big move pending | 15m trend aligned",16:41:38
PLTR,intraday_support_bounce,BUY,154.27,154.26,153.83,155.22,156.38,medium,"Intraday support bounce at $154.26 (tested 25x, weak) (prime_time) | SPY also bouncing from session low $662.39 | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: VWAP $155.22, T2: hourly resistance $156.38 | normal volume | gap down (-0.9%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",16:29:40
LRCX,intraday_support_bounce,BUY,204.39,203.51,202.9,211.24,214.83,medium,"Intraday support bounce at $203.51 (tested 7x, weak) (prime_time) | SPY also bouncing from session low $662.39 | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: prior high $211.24, T2: hourly resistance $214.83 | low volume (caution) | gap down (-2.2%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",16:29:39
META,planned_level_touch,BUY,637.78,636.11,634.2,644.86,648.04,medium,"Planned level touch (normal) — price at entry $636.11, entry=$636.11, T1=$649.47 (prime_time) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: prior close $644.86, T2: hourly resistance $646.90 | normal volume | gap down (-1.6%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned | daily 45 (-15)",16:27:28
PLTR,session_low_double_bottom,BUY,154.0091,153.64,153.18,154.52,155.31,medium,"Session low double-bottom — $153.64 tested twice, recovery confirmed, bounce at $154.01 (prime_time) | SPY double-bottom at $662.39 | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $154.52, T2: VWAP $155.31 | normal volume | gap down (-0.9%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",16:03:25
META,prior_day_low_reclaim,BUY,636.79,636.11,634.2,644.86,648.04,medium,"Prior day low reclaim — dipped to $626.78, reclaimed above $636.11 (prime_time) — gap fill opportunity — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: prior close $644.86, T2: hourly resistance $646.90 | normal volume | gap down (-1.6%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned [+1 confirming: Planned Level Touch]",15:29:39
SPY,prior_day_low_reclaim,BUY,669.8,669.76,668.42,673.11,676.46,medium,"Prior day low reclaim — dipped to $662.39, reclaimed above $669.76 (prime_time) — gap fill opportunity — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: prior close $672.38, T2: prior high $676.11 | normal volume | gap down (-0.9%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned [+2 confirming: Planned Level Touch, Weekly Level Touch]",15:28:14
GOOGL,ema_bounce_100,BUY,299.9001,297.92,297.03,300.53,302.02,medium,"EMA bounce 100 — price pulled back to $297.92 and closed above at $299.90 (prime_time) — price above VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: prior high $300.53, T2: hourly resistance $301.25 | normal volume | gap down (-1.4%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend aligned",15:25:14
ETH-USD,pdh_rejection,SELL,2024.932,,,,,,"PRIOR DAY HIGH REJECTION — rejected at $2030.70, closed $2024.54 — approaching from below, acting as resistance",15:25:13
GOOGL,pdh_rejection,SELL,299.74,,,,,,"PRIOR DAY HIGH REJECTION — rejected at $300.53, closed $299.51 — approaching from below, acting as resistance",14:57:39
GOOGL,resistance_prior_high,NOTICE,299.74,,,,,medium,"At prior day high $300.53 — resistance zone, watch for rejection",14:57:39
SPY,resistance_prior_low,NOTICE,668.05,,,,,,"Prior day low resistance at $669.76 — rejected, watch for continuation lower",14:53:01
PLTR,vwap_reclaim,BUY,155.6701,155.55,155.08,156.38,157.16,high,"VWAP reclaim — morning low $153.64, recovered 1.3% through VWAP $155.55 (vol 0.5x) (prime_time) | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $156.38, T2: prior close $157.16 | low volume (caution) | gap down (-0.9%) | SPY TRENDING DOWN — use extreme caution | SPY RSI oversold (35) | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",14:44:59
LRCX,first_hour_summary,NOTICE,198.44,,,,,info,First hour close: BULLISH (+1.8%) | range 2.6% | strong finish (near high) | touched prior low,14:34:59
SPY,first_hour_summary,NOTICE,664.06,,,,,info,First hour close: BEARISH (-0.3%) | range 0.8% | mid-range finish | touched prior low,14:31:02
PLTR,first_hour_summary,NOTICE,153.885,,,,,info,First hour close: BEARISH (-1.2%) | range 3.1% | weak finish (near low) | 50MA in range,14:31:00
NVDA,first_hour_summary,NOTICE,178.11,,,,,info,First hour close: BULLISH (+0.7%) | range 1.7% | strong finish (near high) | touched prior low,14:30:59
META,first_hour_summary,NOTICE,631.08,,,,,info,First hour close: BEARISH (-0.6%) | range 1.7% | mid-range finish | touched prior low,14:30:59
GOOGL,first_hour_summary,NOTICE,297.1073,,,,,info,First hour close: BULLISH (+0.9%) | range 1.6% | mid-range finish | touched prior low,14:30:59
META,vwap_reclaim,BUY,632,630.96,629.07,636.11,644.86,high,"VWAP reclaim — morning low $626.78, recovered 0.8% through VWAP $630.96 (vol 0.4x) (prime_time) | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: prior low $636.11, T2: prior close $644.86 | low volume (caution) | gap down (-1.6%) | SPY TRENDING DOWN — use extreme caution | SPY RSI oversold (34) | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",14:24:59
ETH-USD,macd_histogram_flip,BUY,2026.3685,2026.37,2014.63,2056.57,2092.42,high,"MACD histogram flip — momentum turning bullish (hist -0.1522 → 0.3144) (us) — price above VWAP | T1: hourly resistance $2056.57, T2: hourly resistance $2092.42 | normal volume | gap up (+2.1%) | Defending 20EMA | SPY EMAs converging — big move pending | 15m trend aligned",14:20:08
PLTR,ema_bounce_200,BUY,154.35,152.89,152.43,154.52,156.04,high,"EMA bounce 200 — price pulled back to $152.89 and closed above at $154.35 (prime_time) — price below VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence | T1: hourly resistance $154.52, T2: VWAP $156.04 | normal volume | gap down (-0.9%) | RS CAUTION: PLTR -0.9% vs SPY -0.3% (underperforming 3.0x) | SPY TRENDING DOWN — use extreme caution | SPY RSI oversold (34) | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",14:02:09
PLTR,fib_retracement_bounce,BUY,155.035,154.55,154.09,156.33,157.1,high,"Fibonacci 61.8% retracement bounce — low $154.50 touched fib $154.55, bounced to $155.04 (opening_range) — price below VWAP | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence, session: opening_range | T1: VWAP $156.33, T2: hourly resistance $156.38 | low volume (caution) | gap down (-0.9%) | SPY TRENDING DOWN — use extreme caution | SPY RSI oversold (33) | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",13:54:09
BTC-USD,resistance_prior_high,NOTICE,68836.6,,,,,medium,"At prior day high $68950.73 — resistance zone, watch for rejection",13:42:54
BTC-USD,first_hour_summary,NOTICE,66406.77,,,,,info,First hour close: BULLISH (+0.7%) | range 1.3% | mid-range finish | heavy volume | touched prior low,13:42:54
PLTR,ma_resistance,SELL,157.39,,,,,,"MA50 RESISTANCE — rejected at $157.42, closed below at $156.17 — recently broken, acting as resistance",13:36:34
META,resistance_prior_low,NOTICE,637.689,,,,,,"Prior day low resistance at $636.11 — rejected, watch for continuation lower",13:32:34
META,weekly_level_touch,BUY,634.78,634.5,632.6,644.86,648.03,medium,"Weekly level touch — price at prior week low $634.50, T1=$672.77 (opening_range) | CAUTION: SPY bearish (below 20MA), SPY TRENDING DOWN — reduced confidence, session: opening_range | T1: prior close $644.86, T2: hourly resistance $646.90 | normal volume | gap down (-1.6%) | SPY TRENDING DOWN — use extreme caution | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",13:30:34
GOOGL,resistance_prior_low,NOTICE,294.505,,,,,,"Prior day low resistance at $295.18 — rejected, watch for continuation lower",13:30:34
BTC-USD,pdh_rejection,SELL,68043.03,,,,,,"PRIOR DAY HIGH REJECTION — rejected at $68177.79, closed $68043.03 — approaching from below, acting as resistance",12:24:12
BTC-USD,ema_resistance,SELL,68342.4,,,,,,"EMA20 RESISTANCE — rejected at $68510.81, closed $68287.41 — recently broken, acting as resistance",09:38:57
ETH-USD,ema_resistance,SELL,2011.4314,,,,,,"EMA20 RESISTANCE — rejected at $2017.23, closed $2011.43 — recently broken, acting as resistance",09:36:56
ETH-USD,prior_day_high_breakout,BUY,2003.1172,1994.97,1991,2004.94,2025.72,high,"Prior day high breakout — closed above $1994.97 (vol 3.4x avg) (asia) | T1: hourly resistance $2002.82, T2: EMA20 $2025.72 | high volume | gap up (+0.4%) | SPY EMAs converging — big move pending | 15m trend aligned",05:46:56
ETH-USD,resistance_prior_high,NOTICE,1993.4413,,,,,medium,"At prior day high $1994.97 — resistance zone, watch for rejection",05:34:56
ETH-USD,vwap_bounce,BUY,1986.0227,1983.12,1977.17,1993.64,2003.56,high,"VWAP bounce — retraced to VWAP $1983.12 and held, close $1986.02 (vol 3.5x) (asia) — price above VWAP | T1: hourly resistance $1993.64, T2: prior high $1994.97 | 20MA confluence at $1978.70 | high volume | gap up (+0.4%) | Defending 20MA | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",04:48:56
ETH-USD,vwap_reclaim,BUY,1988.7799,1980.91,1968.87,1993.64,2003.54,high,"VWAP reclaim — morning low $1974.79, recovered 0.7% through VWAP $1980.91 (vol 1.0x) (asia) | T1: hourly resistance $1993.64, T2: prior high $1994.97 | 20MA confluence at $1978.70 | normal volume | gap up (+0.4%) | SPY EMAs converging — big move pending | 15m trend NOT aligned (caution)",04:30:16
ETH-USD,ma_resistance,SELL,1977.086,,,,,,"MA20 RESISTANCE — rejected at $1978.70, closed below at $1977.09 — recently broken, acting as resistance",03:46:57
ETH-USD,first_hour_summary,NOTICE,1958.3943,,,,,info,First hour close: BULLISH (+0.2%) | range 0.5% | strong finish (near high) | light volume,03:46:57
