Time,Symbol,Direction,Type,Price,Entry,Stop,T1,T2,Confidence,Action,Message
2026-04-09 19:30:01.709530,SPY,BUY,swing_200ma_reclaim,676.010009765625,676.010009765625,,,,,skipped,[SWING] 200 MA reclaim — close 676.01 > 200MA 660.16 | Stop: close below 200MA | Target: RSI 70
2026-04-09 19:30:00.948898,LRCX,BUY,swing_ema_crossover_5_20,246.49000549316406,246.49000549316406,,,,,skipped,[SWING] EMA5/20 bullish crossover — EMA5 229.05 > EMA20 223.50 | Stop: EMA5 crosses back under EMA20 | Target: RSI 70
2026-04-09 18:04:21.981273,SPY,SHORT,consol_15m_breakout_short,678.97998046875,679.6599731445312,682.52001953125,676.7999877929688,673.9400024414062,high,skipped,15M CONSOLIDATION BREAKDOWN — 60min range $679.66-$681.16 (0.2%) broken down. Vol 1.0x (prime_time)
2026-04-09 17:07:21.981344,LRCX,SELL,target_1_hit,256.92999267578125,,,,,,,T1 hit at $256.93 (entry $254.89) — sell half; move stop to breakeven | near hourly R $256.60
2026-04-09 17:03:55.213208,LRCX,SELL,target_2_hit,256.07000732421875,,,,,,,Target 2 hit at $256.07 (entry $225.50) | near hourly R $256.60
2026-04-09 16:22:34.817545,LRCX,SELL,target_1_hit,249.19000244140625,,,,,,,T1 hit at $249.19 (entry $225.50) — sell half; move stop to breakeven | near PDH $249.19
2026-04-09 16:21:55.200846,LRCX,BUY,weekly_high_breakout,255.38999938964844,225.5,224.82000732421875,249.19000244140625,256.07000732421875,medium,skipped,Weekly high breakout — closed above $225.50 (vol 1.4x avg) (prime_time) | T1: prior month high $241.37; T2: prior low $241.49 | gap up (+0.5%)
2026-04-09 16:04:34.817079,SPY,SELL,stop_loss_hit,679.8499755859375,,,,,,,Stop loss hit at $679.85 (-$3.57/share from entry $676.28) | near PDH $677.08
2026-04-09 15:55:22.950945,TSLA,SELL,hourly_resistance_approach,345.07000732421875,,,,,,,APPROACHING HOURLY RESISTANCE at $345.58 — tighten stop or take profits
2026-04-09 15:54:55.200890,TSLA,BUY,prior_day_low_reclaim,344.9800109863281,344.9800109863281,343.260009765625,353.0799865722656,364.5,medium,skipped,Prior day low reclaim — dipped to $337.25; reclaimed above $339.67 (prime_time) — price above VWAP | T1: hourly resistance $353.08; T2: prior high $364.50 | low volume (caution) | TSLA RSI crash risk (35)
2026-04-09 15:51:55.201377,LRCX,SELL,hourly_resistance_approach,255.1699981689453,,,,,,,APPROACHING HOURLY RESISTANCE at $255.37 — tighten stop or take profits
2026-04-09 15:48:55.203267,LRCX,BUY,prior_day_high_breakout,254.88999938964844,254.88999938964844,254.1300048828125,256.92999267578125,258.9700012207031,medium,skipped,Prior day high breakout — closed above $249.19 (vol 1.2x avg) (prime_time) | gap up (+0.5%)
2026-04-09 15:39:55.202683,ETH-USD,SELL,target_2_hit,2212.010009765625,,,,,,,Target 2 hit at $2212.01 (entry $2171.66) | near PDH $2218.21
2026-04-09 15:34:59.091935,SPY,NOTICE,_t1_notify,677.4650268554688,,,,,,,T1 REACHED — your LONG from $676.28 hit target $672.71. P&L: $1.19 (+0.2%). Take profits or trail stop.
2026-04-09 15:33:55.203072,SPY,NOTICE,_t1_notify,677.7100219726562,,,,,,,
2026-04-09 15:20:30.730618,SPY,SHORT,session_high_double_top,676.283203125,676.280029296875,679.8499755859375,672.7100219726562,669.1400146484375,high,took,SESSION HIGH DOUBLE TOP — $676.47 tested twice; rejected and closed $676.28 (prime_time)
2026-04-09 15:08:30.932932,SPY,SHORT,hourly_resistance_rejection_short,674.9500122070312,674.9500122070312,679.1099853515625,670.7899780273438,666.6300048828125,medium,skipped,HOURLY RESISTANCE REJECTION at $677.08 — rallied to $675.13; rejected and closed $674.95
2026-04-09 15:06:17.261427,AMD,SELL,stop_loss_hit,234.55999755859375,,,,,,,Stop loss hit at $234.56 (-$0.53/share from entry $235.09) | near PDH $234.00
2026-04-09 15:03:17.469593,AMD,NOTICE,_t1_notify,234.9499969482422,,,,,,,T1 REACHED — your LONG from $217.78 hit target $234.00. P&L: $17.17 (+7.9%). Take profits or trail stop. At PDH resistance.
2026-04-09 14:59:29.473156,AMD,BUY,prior_day_high_breakout,235.08999633789062,235.08999633789062,234.55999755859375,236.97000122070312,238.85000610351562,medium,took,Prior day high breakout — closed above $234.00 (vol 0.9x avg) (prime_time) | gap up (+0.5%)
2026-04-09 14:56:30.601326,SPY,SHORT,hourly_resistance_rejection_short,675.2000122070312,675.2000122070312,679.1099853515625,671.2899780273438,667.3800048828125,medium,took,HOURLY RESISTANCE REJECTION at $677.08 — rallied to $675.50; rejected and closed $675.20
2026-04-09 14:56:30.424741,SPY,NOTICE,inside_day_forming,675.2000122070312,,,,,medium,,INSIDE DAY FORMING — today's range $673.77-$675.79 within yesterday's $671.46-$677.08 (36% of parent range). Trade the boundaries: buy near $671.46; sell near $677.08
2026-04-09 14:56:29.472704,AMD,SELL,hourly_resistance_approach,235.52999877929688,,,,,,,APPROACHING HOURLY RESISTANCE at $235.99 — tighten stop or take profits
2026-04-09 14:30:55.204026,SPY,NOTICE,inside_day_forming,674.2999877929688,,,,,medium,,INSIDE DAY FORMING — today's range $673.93-$675.79 within yesterday's $671.46-$677.08 (33% of parent range). Trade the boundaries: buy near $671.46; sell near $677.08
2026-04-09 14:27:55.263090,SPY,SELL,stop_loss_hit,674.1699829101562,,,,,,,Stop loss hit at $674.17 (-$1.35/share from entry $675.52) | near MA50 $673.54
2026-04-09 13:53:29.471311,AMD,SELL,target_2_hit,235.66000366210938,,,,,,,Target 2 hit at $235.66 (entry $217.78)
2026-04-09 13:50:29.472930,ETH-USD,SELL,weekly_high_resistance,2169.1689453125,,,,,,,Weekly high resistance — rejected near $2165.67; closed $2164.76
2026-04-09 13:45:55.202107,SPY,SELL,hourly_resistance_approach,675.4547729492188,,,,,,,APPROACHING HOURLY RESISTANCE at $677.08 — tighten stop or take profits
2026-04-09 13:44:30.424827,SPY,BUY,prior_day_low_bounce,675.52001953125,675.52001953125,674.1699829101562,677.0800170898438,686.739990234375,medium,took,Prior day low bounce — held above $671.46; low $674.43 (closed) — price above VWAP | T1: prior month high $686.74; T2: prior month high+1R $688.09 | 100MA confluence at $676.39 | Overhead 100MA
2026-04-09 13:44:29.470119,AMD,BUY,weekly_high_breakout,235.00999450683594,217.77999877929688,217.1300048828125,234,235.66000366210938,medium,skipped,Weekly high breakout — closed above $217.78 (vol 1.7x avg) (closed) | T1: prior month high $221.33; T2: prior low $227.09 | gap up (+0.5%)
2026-04-09 13:41:29.470108,ETH-USD,BUY,session_low_bounce_vwap,2171.655029296875,2171.659912109375,2167.679931640625,2194.639892578125,2212.010009765625,medium,took,SESSION LOW BOUNCE — low $2165.99 held at hourly support $2165.99 (tested 2x). Bouncing toward VWAP $2182.10 (0.5% away). Vol 1.1x (closed) | T1: prior high $2194.64; T2: hourly resistance $2195.37 | gap up (+0.8%)
2026-04-09 13:39:55.201683,AMD,SELL,hourly_resistance_approach,233.36000061035156,,,,,,,APPROACHING HOURLY RESISTANCE at $233.99 — tighten stop or take profits
2026-04-09 13:33:56.557426,AMD,SELL,target_2_hit,234.10000610351562,,,,,,,Target 2 hit at $234.10 (entry $217.78) | near PDH $234.00
2026-04-09 13:33:55.202310,AMD,SELL,target_1_hit,234,,,,,,,T1 hit at $234.00 (entry $217.78) — sell half; move stop to breakeven | near PDH $234.00
2026-04-09 13:32:31.054747,SPY,SELL,ma_resistance,675.239990234375,,,,,,,MA100 RESISTANCE — rejected at $676.39; closed below at $674.86 — recently broken; acting as resistance
2026-04-09 13:32:31.023900,SPY,SELL,pdh_rejection,675.239990234375,,,,,,,PRIOR DAY HIGH REJECTION — rejected at $677.08; closed $674.86 — approaching from below; acting as resistance
2026-04-09 13:32:30.559350,SPY,NOTICE,resistance_prior_high,675.239990234375,,,,,medium,,At prior day high $677.08 — resistance zone; watch for rejection
2026-04-09 13:32:29.472404,AMD,BUY,weekly_high_breakout,233.4499969482422,217.77999877929688,217.1300048828125,234,234.10000610351562,medium,took,Weekly high breakout — closed above $217.78 (vol 1.0x avg) (opening_range) | T1: prior month high $221.33; T2: prior low $227.09 | gap up (+0.5%)
2026-04-09 13:30:56.607918,SPY,SELL,ma_resistance,674.6699829101562,,,,,,,MA100 RESISTANCE — rejected at $676.39; closed below at $674.67 — recently broken; acting as resistance
2026-04-09 13:30:56.576369,AMD,SELL,pdh_rejection,233.47999572753906,,,,,,,PRIOR DAY HIGH REJECTION — rejected at $234.00; closed $233.48 — approaching from below; acting as resistance
2026-04-09 13:30:55.201307,AMD,NOTICE,resistance_prior_high,233.47999572753906,,,,,medium,,At prior day high $234.00 — resistance zone; watch for rejection
2026-04-09 09:59:29.471653,ETH-USD,SELL,target_1_hit,2191.159912109375,,,,,,,T1 hit at $2191.16 (entry $2183.44) — sell half; move stop to breakeven | near hourly S $2189.81
2026-04-09 08:47:29.470518,ETH-USD,NOTICE,_t1_notify,2189.1162109375,,,,,,,T1 REACHED — your LONG from $2183.44 hit target $2191.16. P&L: $5.68 (+0.3%). Take profits or trail stop. At PDH resistance.
2026-04-09 05:47:29.470064,ETH-USD,BUY,consol_breakout_long,2188.090087890625,2183.43994140625,2180.889892578125,2191.159912109375,2221.889892578125,medium,took,CONSOLIDATION BREAKOUT UP — 2h range $2176.68-$2183.44 (0.3%) broken. ATR $10.54. Vol 2.2x. Entry $2183.44; stop $2174.50 | daily trend aligned (bullish) (closed) | T1: hourly resistance $2221.89; T2: hourly resistance $2237.84 | high volume
2026-04-09 05:44:30.231534,ETH-USD,SHORT,hourly_resistance_rejection_short,2187.43994140625,2187.43994140625,2200.199951171875,2174.679931640625,2161.919921875,medium,skipped,HOURLY RESISTANCE REJECTION at $2193.62 — rallied to $2188.34; rejected and closed $2187.44
2026-04-09 05:44:29.470257,ETH-USD,SHORT,session_high_double_top,2187.43994140625,2187.43994140625,2204.590087890625,2170.2900390625,2153.139892578125,high,skipped,SESSION HIGH DOUBLE TOP — $2193.62 tested twice; rejected and closed $2187.44 (closed)
2026-04-09 05:42:55.210552,ETH-USD,SELL,hourly_resistance_approach,2188.340087890625,,,,,,,APPROACHING HOURLY RESISTANCE at $2193.62 — tighten stop or take profits
2026-04-09 02:46:05.707619,ETH-USD,SHORT,vwap_loss,2179.15087890625,2179.14990234375,2183.610107421875,2174.68994140625,2170.22998046875,medium,skipped,VWAP LOSS — was above VWAP $2179.25 for 4/6 bars; now closed below at $2179.15. Bearish shift. (closed)
2026-04-09 00:33:55.206405,ETH-USD,SELL,stop_loss_hit,2184.56005859375,,,,,,,Stop loss hit at $2184.56 (-$5.17/share from entry $2189.73) | near hourly S $2183.51
2026-04-09 00:21:55.202760,ETH-USD,SELL,pdh_rejection,2191.41650390625,,,,,,,PRIOR DAY HIGH REJECTION — rejected at $2191.10; closed $2188.97 — approaching from below; acting as resistance
2026-04-09 00:10:05.708006,ETH-USD,BUY,inside_day_reclaim,2193.619140625,2189.72998046875,2184.56005859375,2193.6201171875,2221.889892578125,medium,skipped,Inside day reclaim — dipped to $2188.94; reclaimed above $2189.73 (failed breakdown trap) (closed) | T1: hourly resistance $2221.89; T2: hourly resistance $2237.84
2026-04-09 00:09:55.201640,ETH-USD,NOTICE,resistance_prior_high,2193.619140625,,,,,,,At prior day high $2193.62 — consider taking profits
2026-04-09 00:03:55.210558,ETH-USD,BUY,weekly_high_breakout,2189.265380859375,2165.669921875,2154.840087890625,2237.840087890625,2265.550048828125,medium,skipped,Weekly high breakout — closed above $2165.67 (vol 1.0x avg) (closed) | T1: prior low $2183.65; T2: prior close $2189.27